ID	Name	ParentID	AmazonCategoryId
394	Arts, Crafts & Sewing		
395	Automotive		
396	Baby & Nursery		
397	Beauty & Grooming		
398	Blu-Ray & DVD		
399	Books & Textbooks		
400	Business & Industrial Supplies		
401	CDs & Vinyl		
402	Camera & Photo		
403	Cell Phones & Accessories		
404	Classical Music		
405	Clothing & Accessories		
406	Collectible Coins		
407	Computers, Tablets & Components		
408	Digital Music		
409	Electronic Components & Home Audio		
410	Entertainment Collectibles		
411	Grocery & Gourmet Food		
412	Health & Household		
413	Home Improvement		
414	Jewelry		
415	Kindle Store		
416	Kitchen & Dining		
417	Magazines		
418	Major Appliances		
419	Miscellaneous		
420	Musical Instruments		
421	Office & School Supplies		
422	Other Gift Card Brands		
423	Patio, Lawn & Garden		
424	Patio, Lawn & Garden		
425	Pet Food & Supplies		
426	Shoes, Handbags, Wallets, Sunglasses		
427	Software		
428	Sports & Fitness		
429	Sports Collectibles		
430	Toys & Games		
431	VHS		
432	Video Games		
433	Video Games		
434	Video On Demand: Rent or Buy		
435	Watches		
436	Beading & Jewelry Making	394	12896081
437	Craft Supplies	394	378733011
438	Fabric	394	12899121
439	Fabric Painting & Dyeing	394	12896841
440	Knitting & Crochet	394	12897221
441	Needlework	394	2237329011
442	Organization & Storage	394	2237594011
443	Painting, Drawing & Art Supplies	394	2747968011
444	Photography	394	12898411
445	Printmaking	394	12898451
446	Scrapbooking	394	12898821
447	Sewing	394	12899091
448	Thread	394	12897331
449	Yarn	394	262625011
450	Wheels & Tires	395	15706571
451	Tools & Equipment	395	15706941
452	RV Parts & Accessories	395	2258019011
453	Replacement Parts	395	15719731
454	Performance Parts & Accessories	395	15710351
455	Paint & Paint Supplies	395	13591416011
456	Oils & Fluids	395	15718791
457	Motorcycle & ATV	395	346333011
458	Light & Lighting Accessories	395	15736321
459	Interior Accessories	395	15857501
460	Exterior Accessories	395	15857511
461	Car Care	395	15718271
462	Travel Gear	396	17726796011
463	Strollers	396	166842011
464	Safety	396	166863011
465	Potty Training	396	166887011
466	Nursery	396	695338011
467	Gifts	396	239226011
468	For Moms	396	166804011
469	Feeding	396	166777011
470	Diapering	396	166764011
471	Car Seats	396	166835011
472	Baby Care	396	17720255011
473	Activity & Entertainment	396	239225011
474	Tools & Accessories	397	11062741
475	Skin Care	397	11060451
476	Makeup	397	11058281
477	Hair Care	397	11057241
478	Gift Sets	397	11057131
479	Fragrance	397	11056591
480	Foot, Hand & Nail Care	397	17242866011
481	Bath & Shower	397	11055991
482	Sports	398	467970
483	Special Interests	398	163448
484	Mystery & Suspense	398	512030
485	Music Video & Concerts	398	163420
486	Military & War	398	586156
487	Kids & Family	398	163414
488	Horror	398	163396
489	Gay & Lesbian	398	301667
490	Exercise & Fitness	398	578324
491	Drama	398	163379
492	Documentary	398	508532
493	Comedy	398	163357
494	Anime & Manga	398	517956
495	Action & Adventure	398	163296
496	Television	398	163450
497	Westerns	398	163312
498	Law	399	10777
499	Teen & Young Adult	399	28
500	Sports & Outdoors	399	26
501	Self-Help	399	4736
502	Science Fiction & Fantasy	399	25
503	Science & Math	399	75
504	Romance	399	23
505	Religion & Spirituality	399	22
506	Reference	399	21
507	Politics & Social Sciences	399	3377866011
508	Parenting & Relationships	399	20
509	Mystery, Thriller & Suspense	399	18
510	Medical Books	399	173514
511	Literature & Fiction	399	17
512	LGBTQ+ Books	399	301889
513	Arts & Photography	399	1
514	Biographies & Memoirs	399	2
515	Business & Money	399	3
516	Calendars	399	3248857011
517	Children's Books	399	4
518	Christian Books & Bibles	399	12290
519	Comics & Graphic Novels	399	4366
520	Computers & Technology	399	5
521	Cookbooks, Food & Wine	399	6
